c,period,T_theory,energy_drift
0.0,0.0596089552238806,0.0596075295947766,7.52107582774212e-09
3.571428571428572e-05,0.05927299703264095,0.0596075295947766,2.0685750401384072e-25
7.142857142857143e-05,0.05900591715976332,0.0596075295947766,2.0922958507751037e-25
0.00010714285714285715,0.05881415929203541,0.0596075295947766,1.042091735338814e-25
0.00014285714285714287,0.057638728323699415,0.0596075295947766,6.483208759570397e-25
0.0001785714285714286,0.05634180790960452,0.0596075295947766,9.237332198892359e-26
0.0002142857142857143,0.05497796143250689,0.0596075295947766,7.612626516223123e-25
0.00025,0.05292572944297083,0.0596075295947766,1.6521008548184034e-25
0.00028571428571428574,0.050760814249363864,0.0596075295947766,6.586834164012597e-26
0.00032142857142857147,0.04929135802469136,0.0596075295947766,1.3407615177047921e-25
0.0003571428571428572,0.047537170263788966,0.0596075295947766,2.3338922870844086e-26
0.0003928571428571429,0.0464087591240876,0.0596075295947766,4.333771534757401e-26
0.0004285714285714286,0.04342280285035629,0.0596075295947766,3.153572015772125e-27
0.00046428571428571433,0.038258215962441305,0.0596075295947766,2.5553790153734183e-26
0.0005,0.03494174757281555,0.0596075295947766,3.041566768715693e-26
