m,period,T_theory,energy_drift
0.001,0.017871198568872985,0.018849555921538756,9.819110196577854e-26
0.0035789473684210526,0.035195767195767204,0.035659789808001975,4.420801154700225e-25
0.006157894736842105,0.046331786542923435,0.046775372364766324,3.576741535092654e-25
0.008736842105263157,0.05528808864265928,0.05571579946993681,1.8912033325671833e-25
0.01131578947368421,0.06298422712933754,0.06340792664396049,3.706380716095064e-25
0.013894736842105262,0.06983216783216784,0.07026293483763356,1.4236341364236457e-25
0.016473684210526317,0.07610687022900763,0.07650617532401685,2.983020631881212e-25
0.01905263157894737,0.08189711934156378,0.08227703029048186,3.646034390510852e-25
0.021631578947368422,0.08730701754385964,0.0876688346228723,2.1039059729748686e-25
0.024210526315789474,0.09242592592592594,0.09274771918944529,2.4319823553150645e-25
0.026789473684210526,0.09726341463414634,0.09756256590289056,2.718993139289717e-25
0.02936842105263158,0.1018826530612245,0.10215071764930252,9.328592426769403e-25
0.031947368421052634,0.10631550802139038,0.10654146595095823,5.084866275160572e-25
0.03452631578947368,0.1105777777777778,0.11075829006305062,5.216304230295504e-25
0.03710526315789474,0.11468390804597703,0.11482035389425743,3.3224407398327347e-25
0.03968421052631579,0.1186607142857143,0.11874354095745242,9.687497657298766e-25
0.04226315789473684,0.12251851851851854,0.1225411905027279,2.087964011388117e-24
0.0448421052631579,0.12623417721518987,0.1262246339687207,3.164733240166084e-23
0.04742105263157895,0.12983660130718955,0.1298035942154499,3.7613363976596204e-22
0.05,0.13332214765100672,0.13328648814475097,3.986252094408723e-21
