mode,frequency,node_count_numerical,node_count_theoretical,mean_error
1,86.41264122753545,2,0,
2,172.8252824550709,1,1,0.0002999297722929631
3,259.2379236826063,4,2,0.039021901777632664
4,345.6505649101418,3,3,0.0009705437331653707
